track_id,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,favorite
1FgJkHwXlg6pzYdueugvzB,154959,44,0.693,0.796,0.384,0.0,0.1,-10.201,0.237,95.669,4,0
19l8i6cV0tUIn3ON8duR4r,201599,43,0.529,0.739,0.637,5.37e-05,0.172,-6.545,0.26,99.861,4,0
71ySrfAppuaI2p873viZJl,149153,29,0.284,0.64,0.626,0.0,0.178,-8.674,0.216,98.01,4,0
0imwtLGiD7fCyWq7SpslPl,180000,54,0.789,0.778,0.413,0.000158,0.106,-7.579,0.0433,96.056,4,0
3Xfwu3xtPqmJ4nM4jpBm8O,169411,71,0.528,0.712,0.497,2.65e-05,0.125,-8.106,0.431,128.385,5,0
4eaQ1J85a7FE4zjmeWLpUI,142104,40,0.376,0.75,0.502,0.245,0.132,-5.202,0.19,195.957,4,0
3QO1m6i0nsrp8aOnapvbkx,262973,64,0.0864,0.612,0.651,0.0,0.368,-6.974,0.281,90.272,4,0
0l854Wl0jJ1jzcFdrgDj9B,209126,31,0.109,0.949,0.621,0.000573,0.231,-5.834,0.13,102.985,4,0
6BtXtwOOy9CfpdlClUscJv,189106,30,0.0127,0.864,0.876,1.74e-05,0.0749,-2.418,0.0646,104.0,4,0
7jrfqHvcRvJluOlCGJU54G,188307,54,0.143,0.829,0.433,0.00252,0.13,-11.828,0.174,130.051,4,0
0B3FovCVaGKS5w1FTidEUP,248472,65,0.049,0.603,0.602,0.0,0.279,-7.083,0.23,119.703,5,0
7dhiGKBm2pYVLAW4QF1z1E,174399,35,0.134,0.859,0.768,0.00218,0.103,-8.367,0.255,127.984,4,0
3hr4lwTXMCFKIH5KOSoXQ5,215700,44,0.497,0.856,0.649,0.00191,0.17,-4.679,0.213,99.969,4,0
3teVlSIOsmB9HYbOHqAKRV,197327,37,0.394,0.698,0.609,0.00292,0.678,-5.658,0.208,79.028,4,0
7uNhQWkpAerkfGoqWCtfNK,172427,45,0.691,0.772,0.411,0.000171,0.198,-12.3,0.0622,103.022,4,0
6vV819M5EoHUM9NGNIi7QV,171180,30,0.247,0.797,0.661,0.0127,0.164,-7.167,0.172,108.075,4,0
6l5WDlZzjAXWEA47969TXI,298997,53,0.00167,0.863,0.449,0.0235,0.0585,-12.521,0.0622,112.043,4,0
0y7JsPpdF6D75aHOZK998j,191191,47,0.0411,0.913,0.642,0.0451,0.106,-6.541,0.0584,117.943,4,0
4VJ1lumYKZpfOytM15dkE8,190819,41,0.159,0.542,0.723,3.02e-05,0.102,-7.61,0.161,152.09,5,0
6gHUiXF4BiJ9d7biTNmdKR,161684,62,0.307,0.607,0.586,1.51e-06,0.287,-5.698,0.15,126.715,5,0
